# Enhanced Quasi-3D Monte Carlo Simulation
# Timestamp: 20250719_000924
# Spin model: cube (8 states - cube vertices)
# Algorithm: wolff
# Theoretical Tc (8-state Potts): ~0.751
# Temperature range: 0.1-1.5 (optimized for critical region)
# Layer: 1/3
# System size: 32x32x3, Total sites: 3072
# Spin vectors: 8 cube vertices (±1,±1,±1)/√3
#
# Temperature          M^2          M^4          G^2          G^4       Energy           Cv         Corr
5.000000e-001 9.998710e-001 9.997423e-001 4.999354e-001 4.999354e-001 -3.999486e+000 2.212870e-002 2.007723e+004
5.100000e-001 9.998270e-001 9.996545e-001 4.999134e-001 4.999135e-001 -3.999310e+000 2.782517e-002 1.745757e+004
5.200000e-001 9.998121e-001 9.996247e-001 4.999059e-001 4.999059e-001 -3.999253e+000 3.261801e-002 1.693055e+004
5.300000e-001 9.998218e-001 9.996441e-001 4.999108e-001 4.999108e-001 -3.999292e+000 2.742521e-002 1.698025e+004
5.400000e-001 9.997435e-001 9.994878e-001 4.998716e-001 4.998716e-001 -3.998980e+000 3.947076e-002 1.416102e+004
5.500000e-001 9.997288e-001 9.994584e-001 4.998643e-001 4.998643e-001 -3.998925e+000 3.854635e-002 1.355914e+004
5.600000e-001 9.996877e-001 9.993763e-001 4.998437e-001 4.998437e-001 -3.998760e+000 4.014157e-002 1.277406e+004
5.700000e-001 9.996434e-001 9.992879e-001 4.998215e-001 4.998215e-001 -3.998604e+000 4.917097e-002 1.146978e+004
5.800000e-001 9.996300e-001 9.992611e-001 4.998148e-001 4.998148e-001 -3.998541e+000 4.805325e-002 1.141137e+004
5.900000e-001 9.995715e-001 9.991443e-001 4.997855e-001 4.997855e-001 -3.998317e+000 5.306490e-002 1.064645e+004
6.000000e-001 9.994736e-001 9.989489e-001 4.997368e-001 4.997366e-001 -3.997912e+000 5.908772e-002 9.800807e+003
6.100000e-001 9.994548e-001 9.989113e-001 4.997271e-001 4.997271e-001 -3.997837e+000 6.102009e-002 9.545733e+003
6.200000e-001 9.994075e-001 9.988171e-001 4.997034e-001 4.997034e-001 -3.997680e+000 6.933781e-002 8.819894e+003
6.300000e-001 9.993914e-001 9.987849e-001 4.996956e-001 4.996953e-001 -3.997617e+000 6.869515e-002 8.872414e+003
6.400000e-001 9.993921e-001 9.987863e-001 4.996957e-001 4.996961e-001 -3.997598e+000 6.360531e-002 8.847254e+003
6.500000e-001 9.993651e-001 9.987325e-001 4.996833e-001 4.996822e-001 -3.997510e+000 6.794738e-002 8.600873e+003
6.600000e-001 9.993035e-001 9.986094e-001 4.996514e-001 4.996514e-001 -3.997267e+000 6.937016e-002 8.122471e+003
6.700000e-001 9.992789e-001 9.985602e-001 4.996391e-001 4.996393e-001 -3.997152e+000 6.816506e-002 8.211902e+003
6.800000e-001 9.993267e-001 9.986557e-001 4.996630e-001 4.996631e-001 -3.997333e+000 6.283227e-002 8.534785e+003
6.900000e-001 9.993375e-001 9.986774e-001 4.996684e-001 4.996685e-001 -3.997393e+000 6.086853e-002 8.432595e+003
7.000000e-001 9.993771e-001 9.987563e-001 4.996887e-001 4.996885e-001 -3.997545e+000 5.498086e-002 8.682983e+003
7.100000e-001 9.994812e-001 9.989642e-001 4.997403e-001 4.997403e-001 -3.997958e+000 4.465764e-002 9.574210e+003
7.200000e-001 9.995231e-001 9.990478e-001 4.997613e-001 4.997613e-001 -3.998135e+000 4.058284e-002 9.950670e+003
7.300000e-001 9.995906e-001 9.991824e-001 4.997951e-001 4.997951e-001 -3.998368e+000 3.390382e-002 1.104502e+004
7.400000e-001 9.996993e-001 9.993995e-001 4.998495e-001 4.998495e-001 -3.998803e+000 2.363947e-002 1.305477e+004
7.500000e-001 9.997272e-001 9.994553e-001 4.998635e-001 4.998635e-001 -3.998918e+000 2.044261e-002 1.351980e+004
7.600000e-001 9.996870e-001 9.993750e-001 4.998434e-001 4.998434e-001 -3.998756e+000 2.270659e-002 1.283056e+004
7.700000e-001 9.997166e-001 9.994340e-001 4.998581e-001 4.998581e-001 -3.998872e+000 2.025986e-002 1.352494e+004
7.800000e-001 9.996981e-001 9.993971e-001 4.998489e-001 4.998489e-001 -3.998798e+000 2.154939e-002 1.318191e+004
7.900000e-001 9.997357e-001 9.994722e-001 4.998677e-001 4.998677e-001 -3.998944e+000 1.837946e-002 1.415715e+004
8.000000e-001 9.997889e-001 9.995784e-001 4.998943e-001 4.998943e-001 -3.999157e+000 1.441950e-002 1.549936e+004
8.100000e-001 9.997699e-001 9.995405e-001 4.998848e-001 4.998848e-001 -3.999080e+000 1.555556e-002 1.509689e+004
8.200000e-001 9.998472e-001 
