# Enhanced Quasi-3D Monte Carlo Simulation
# Timestamp: 20250719_000924
# Spin model: cube (8 states - cube vertices)
# Algorithm: wolff
# Theoretical Tc (8-state Potts): ~0.751
# Temperature range: 0.1-1.5 (optimized for critical region)
# Layer: 3/3
# System size: 24x24x3, Total sites: 1728
# Spin vectors: 8 cube vertices (±1,±1,±1)/√3
#
# Temperature          M^2          M^4          G^2          G^4       Energy           Cv         Corr
5.000000e-001 1.000000e+000 1.000000e+000 5.000000e-001 5.000000e-001 -4.000000e+000 0.000000e+000 0.000000e+000
5.100000e-001 1.000000e+000 1.000000e+000 5.000000e-001 5.000000e-001 -4.000000e+000 0.000000e+000 0.000000e+000
5.200000e-001 9.999908e-001 9.999816e-001 4.999954e-001 4.999954e-001 -3.999963e+000 1.458105e-003 4.272759e+004
5.300000e-001 9.999986e-001 9.999972e-001 4.999993e-001 4.999993e-001 -3.999994e+000 2.108988e-004 1.103226e+005
5.400000e-001 9.999949e-001 9.999899e-001 4.999975e-001 4.999975e-001 -3.999980e+000 7.443242e-004 5.761400e+004
5.500000e-001 9.999984e-001 9.999968e-001 4.999992e-001 4.999992e-001 -3.999994e+000 2.284681e-004 1.021389e+005
5.600000e-001 9.999972e-001 9.999945e-001 4.999986e-001 4.999986e-001 -3.999989e+000 3.777022e-004 7.800981e+004
5.700000e-001 9.999843e-001 9.999686e-001 4.999921e-001 4.999921e-001 -3.999937e+000 2.060085e-003 3.277046e+004
5.800000e-001 9.999882e-001 9.999765e-001 4.999941e-001 4.999941e-001 -3.999953e+000 1.493517e-003 3.784015e+004
5.900000e-001 9.999841e-001 9.999682e-001 4.999920e-001 4.999920e-001 -3.999936e+000 1.950963e-003 3.253213e+004
6.000000e-001 9.999861e-001 9.999723e-001 4.999931e-001 4.999931e-001 -3.999944e+000 1.641152e-003 3.488685e+004
6.100000e-001 9.999882e-001 9.999765e-001 4.999941e-001 4.999941e-001 -3.999953e+000 1.350226e-003 3.784015e+004
6.200000e-001 9.999880e-001 9.999760e-001 4.999940e-001 4.999940e-001 -3.999952e+000 1.332583e-003 3.747453e+004
6.300000e-001 9.999732e-001 9.999465e-001 4.999866e-001 4.999866e-001 -3.999893e+000 3.168437e-003 2.486397e+004
6.400000e-001 9.999630e-001 9.999263e-001 4.999815e-001 4.999815e-001 -3.999852e+000 4.502315e-003 2.103337e+004
6.500000e-001 9.999725e-001 9.999451e-001 4.999862e-001 4.999862e-001 -3.999890e+000 2.765244e-003 2.477200e+004
6.600000e-001 9.999531e-001 9.999064e-001 4.999765e-001 4.999765e-001 -3.999812e+000 4.555987e-003 1.896628e+004
6.700000e-001 9.999582e-001 9.999166e-001 4.999791e-001 4.999791e-001 -3.999832e+000 4.210280e-003 2.011244e+004
6.800000e-001 9.999445e-001 9.998894e-001 4.999722e-001 4.999722e-001 -3.999778e+000 5.491905e-003 1.753789e+004
6.900000e-001 9.999129e-001 9.998262e-001 4.999564e-001 4.999564e-001 -3.999651e+000 7.673324e-003 1.391717e+004
7.000000e-001 9.999078e-001 9.998160e-001 4.999538e-001 4.999538e-001 -3.999631e+000 7.922196e-003 1.352772e+004
