# Enhanced Quasi-3D Monte Carlo Simulation
# Timestamp: 20250719_000924
# Spin model: cube (8 states - cube vertices)
# Algorithm: wolff
# Theoretical Tc (8-state Potts): ~0.751
# Temperature range: 0.1-1.5 (optimized for critical region)
# Layer: 2/3
# System size: 24x24x3, Total sites: 1728
# Spin vectors: 8 cube vertices (±1,±1,±1)/√3
#
# Temperature          M^2          M^4          G^2          G^4       Energy           Cv         Corr
5.000000e-001 9.999868e-001 9.999737e-001 4.999934e-001 4.999934e-001 -3.999947e+000 2.324446e-003 3.564249e+004
5.100000e-001 9.999720e-001 9.999442e-001 4.999860e-001 4.999860e-001 -3.999888e+000 4.566827e-003 2.456641e+004
5.200000e-001 9.999663e-001 9.999327e-001 4.999831e-001 4.999831e-001 -3.999865e+000 5.293820e-003 2.236437e+004
5.300000e-001 9.999774e-001 9.999548e-001 4.999887e-001 4.999887e-001 -3.999909e+000 3.428830e-003 2.729748e+004
5.400000e-001 9.999376e-001 9.998755e-001 4.999688e-001 4.999688e-001 -3.999750e+000 9.021490e-003 1.644542e+004
5.500000e-001 9.999672e-001 9.999345e-001 4.999836e-001 4.999836e-001 -3.999869e+000 4.603344e-003 2.267719e+004
5.600000e-001 9.999457e-001 9.998916e-001 4.999728e-001 4.999728e-001 -3.999782e+000 7.314145e-003 1.762766e+004
5.700000e-001 9.999411e-001 9.998824e-001 4.999705e-001 4.999705e-001 -3.999764e+000 7.652839e-003 1.692223e+004
5.800000e-001 9.999101e-001 9.998207e-001 4.999550e-001 4.999550e-001 -3.999640e+000 1.160975e-002 1.372058e+004
5.900000e-001 9.998646e-001 9.997298e-001 4.999322e-001 4.999322e-001 -3.999459e+000 1.621977e-002 1.109877e+004
6.000000e-001 9.998637e-001 9.997280e-001 4.999317e-001 4.999317e-001 -3.999454e+000 1.570905e-002 1.112461e+004
6.100000e-001 9.998292e-001 9.996594e-001 4.999145e-001 4.999145e-001 -3.999321e+000 1.977031e-002 9.816070e+003
6.200000e-001 9.998133e-001 9.996275e-001 4.999065e-001 4.999065e-001 -3.999258e+000 2.078930e-002 9.385922e+003
6.300000e-001 9.998149e-001 9.996307e-001 4.999073e-001 4.999073e-001 -3.999258e+000 1.988049e-002 9.570974e+003
6.400000e-001 9.996876e-001 9.993768e-001 4.998435e-001 4.998435e-001 -3.998761e+000 3.143055e-002 7.199474e+003
6.500000e-001 9.997255e-001 9.994524e-001 4.998625e-001 4.998625e-001 -3.998900e+000 2.883326e-002 7.843314e+003
6.600000e-001 9.996691e-001 9.993400e-001 4.998343e-001 4.998343e-001 -3.998681e+000 3.310977e-002 7.052630e+003
6.700000e-001 9.996324e-001 9.992666e-001 4.998159e-001 4.998159e-001 -3.998531e+000 3.498820e-002 6.738906e+003
6.800000e-001 9.995813e-001 9.991648e-001 4.997905e-001 4.997903e-001 -3.998327e+000 3.887901e-002 6.373214e+003
6.900000e-001 9.995296e-001 9.990617e-001 4.997644e-001 4.997644e-001 -3.998127e+000 4.240679e-002 5.900085e+003
7.000000e-001 9.994480e-001 9.988991e-001 4.997235e-001 4.997235e-001 -3.997793e+000 5.032898e-002 5.471336e+003
7.100000e-001 9.994698e-001 9.989423e-001 4.997344e-001 4.997344e-001 -3.997883e+000 4.508406e-002 5.659305e+003
7.200000e-001 9.994361e-001 9.988752e-001 4.997175e-001 4.997175e-001 -3.997744e+000 4.903115e-002 5.490357e+003
7.300000e-001 9.994083e-001 9.988198e-001 4.997036e-001 4.997036e-001 -3.997638e+000 4.752931e-002 5.252275e+003
7.400000e-001 9.993579e-001 9.987191e-001 4.996784e-001 4.996784e-001 -3.997431e+000 4.825302e-002 5.051824e+003
7.500000e-001 9.993399e-001 9.986835e-001 4.996693e-001 4.996693e-001 -3.997369e+000 5.060409e-002 4.902637e+003
7.600000e-001 9.993076e-001 9.986190e-001 4.996531e-001 4.996531e-001 -3.997242e+000 5.142717e-002 4.853835e+003
7.700000e-001 9.992568e-001 9.985179e-001 4.996277e-001 4.996277e-001 -3.997038e+000 5.656794e-002 4.667078e+003
7.800000e-001 9.992831e-001 9.985702e-001 4.996413e-001 4.996409e-001 -3.997144e+000 5.098422e-002 4.797603e+003
7.900000e-001 9.992018e-001 9.984079e-001 4.996002e-001 4.996001e-001 -3.996819e+000 5.366691e-002 4.485622e+003
8.000000e-001 9.993140e-001 9.986317e-001 4.996576e-001 4.996564e-001 -3.997269e+000 4.501964e-002 4.893242e+003
8.100000e-001 9.992499e-001 9.985039e-001 4.996242e-001 4.996244e-001 -3.997003e+000 5.043811e-002 4.601702e+003
8.200000e-001 9.994102e-001 9.988234e-001 4.997045e-001 4.997049e-001 -3.997653e+000 3.719408e-002 5.198125e+003
8.300000e-001 9.993559e-001 9.987152e-001 4.996773e-001 4.996773e-001 -3.997436e+000 4.006387e-002 4.963781e+003
8.400000e-001 9.992277e-001 9.984597e-001 4.996135e-001 4.996131e-001 -3.996929e+000 4.745194e-002 4.522957e+003
8.500000e-001 9.991662e-001 9.983374e-001 4.995822e-001 4.995826e-001 -3.996717e+000 5.335380e-002 4.232792e+003
8.600000e-001 9.990000e-001 9.980060e-001 4.995002e-001 4.994992e-001 -3.996044e+000 5.931792e-002 3.922664e+003
8.700000e-001 9.990000e-001 9.980057e-001 4.994992e-001 4.994994e-001 -3.996040e+000 5.552849e-002 3.931026e+003
8.800000e-001 9.988306e-001 9.976685e-001 4.994144e-001 4.994145e-001 -3.995373e+000 6.746760e-002 3.565888e+003
8.900000e-001 9.987630e-001 9.975333e-001 4.993803e-001 4.993806e-001 -3.995094e+000 6.506349e-002 3.546919e+003
9.000000e-001 9.986711e-001 9.973503e-001 4.993344e-001 4.993344e-001 -3.994743e+000 6.877574e-002 3.392306e+003
9.100000e-001 9.985707e-001 9.971503e-001 4.992861e-001 4.992840e-001 -3.994333e+000 7.394216e-002 3.244818e+003
9.200000e-001 9.984434e-001 9.968967e-001 4.992208e-001 4.992200e-001 -3.993850e+000 7.753201e-002 3.112365e+003
9.300000e-001 9.982064e-001 9.964247e-001 4.991027e-001 4.991023e-001 -3.992904e+000 8.953623e-002 2.864268e+003
9.400000e-001 9.980804e-001 9.961738e-001 4.990380e-001 4.990392e-001 -3.992438e+000 9.234078e-002 2.756683e+003
9.500000e-001 9.978963e-001 9.958079e-001 4.989495e-001 4.989459e-001 -3.991700e+000 1.049321e-001 2.594287e+003
9.600000e-001 9.976616e-001 9.953406e-001 4.988318e-001 4.988309e-001 -3.990779e+000 1.130305e-001 2.444588e+003
9.700000e-001 9.973605e-001 9.947419e-001 4.986780e-001 4.986795e-001 -3.989614e+000 1.278443e-001 2.313614e+003
9.800000e-001 9.971719e-001 9.943660e-001 4.985831e-001 4.985849e-001 -3.988902e+000 1.256682e-001 2.256607e+003
9.900000e-001 9.970414e-001 9.941060e-001 4.985218e-001 4.985182e-001 -3.988362e+000 1.269813e-001 2.199419e+003
1.000000e+000 9.966227e-001 9.932732e-001 4.983073e-001 4.983101e-001 -3.986719e+000 1.412523e-001 2.019884e+003
1.010000e+000 9.962813e-001 9.925950e-001 4.981414e-001 4.981427e-001 -3.985422e+000 1.580923e-001 1.940824e+003
1.020000e+000 9.960250e-001 9.920852e-001 4.980117e-001 4.980138e-001 -3.984394e+000 1.613784e-001 1.856911e+003
1.030000e+000 9.959692e-001 9.919744e-001 4.979911e-001 4.979807e-001 -3.984132e+000 1.607376e-001 1.874465e+003
1.040000e+000 9.955050e-001 9.910529e-001 4.977528e-001 4.977510e-001 -3.982350e+000 1.811997e-001 1.745117e+003
1.050000e+000 9.953154e-001 9.906767e-001 4.976554e-001 4.976535e-001 -3.981663e+000 1.853762e-001 1.693925e+003
1.060000e+000 9.947659e-001 9.895851e-001 4.973786e-001 4.973833e-001 -3.979502e+000 1.961395e-001 1.599358e+003
1.070000e+000 9.943469e-001 9.887558e-001 4.971705e-001 4.971770e-001 -3.977933e+000 2.201947e-001 1.505423e+003
1.080000e+000 9.938997e-001 9.878708e-001 4.969479e-001 4.969549e-001 -3.976347e+000 2.393396e-001 1.424095e+003
1.090000e+000 9.940452e-001 9.881568e-001 4.970197e-001 4.970251e-001 -3.976746e+000 2.200300e-001 1.467214e+003
1.100000e+000 9.935943e-001 9.872635e-001 4.968071e-001 4.967984e-001 -3.975066e+000 2.351368e-001 1.403009e+003
1.110000e+000 9.929477e-001 9.859810e-001 4.964741e-001 4.964858e-001 -3.972449e+000 2.419306e-001 1.319321e+003
1.120000e+000 9.927958e-001 9.856810e-001 4.964030e-001 4.963998e-001 -3.971991e+000 2.449861e-001 1.291596e+003
1.130000e+000 9.923150e-001 9.847297e-001 4.961612e-001 4.961658e-001 -3.970090e+000 2.653412e-001 1.248756e+003
1.140000e+000 9.919681e-001 9.840439e-001 4.960001e-001 4.959978e-001 -3.968712e+000 2.786639e-001 1.231187e+003
1.150000e+000 9.912727e-001 9.826674e-001 4.956366e-001 4.956466e-001 -3.966263e+000 2.827992e-001 1.147638e+003
1.160000e+000 9.905969e-001 9.813299e-001 4.953225e-001 4.953029e-001 -3.963522e+000 2.923019e-001 1.100799e+003
1.170000e+000 9.904074e-001 9.809579e-001 4.952080e-001 4.952144e-001 -3.963032e+000 3.001092e-001 1.077167e+003
1.180000e+000 9.899244e-001 9.800043e-001 4.949852e-001 
