# Enhanced Quasi-3D Monte Carlo Simulation
# Timestamp: 20250716_043829
# Spin model: cube (8 states - cube vertices)
# Algorithm: hybrid (hybrid Metropolis+Wolff)
# Theoretical Tc (8-state Potts): ~0.751
# Temperature range: 0.1-1.5 (optimized for critical region)
# Layer: 2/3
# System size: 8x8x3, Total sites: 192
# Spin vectors: 8 cube vertices (±1,±1,±1)/√3
#
# Temperature          M^2          M^4          G^2          G^4       Energy           Cv         Corr
 1.000000e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -4.000000e+00 -2.273737e-11  0.000000e+00
 1.080000e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -4.000000e+00 -1.949363e-11  0.000000e+00
 1.160000e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -4.000000e+00 -1.689757e-11  0.000000e+00
 1.240000e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -4.000000e+00 -1.478757e-11  0.000000e+00
 1.320000e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -4.000000e+00 -1.304945e-11  0.000000e+00
 1.400000e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -4.000000e+00 -1.160070e-11  0.000000e+00
 1.480000e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -4.000000e+00 -1.038046e-11  0.000000e+00
 1.560000e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -4.000000e+00 -9.343100e-12  0.000000e+00
 1.640000e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -4.000000e+00 -8.453810e-12  0.000000e+00
 1.720000e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -4.000000e+00 -7.685698e-12  0.000000e+00
 1.800000e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -4.000000e+00 -7.017706e-12  0.000000e+00
 1.880000e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -4.000000e+00 -6.433162e-12  0.000000e+00
